Application,QProto Name,NetMon Old Name,NetMon New Short Name,NetMon New Long Name,Syslog Field,SIEM MPE Tag,SIEM Mapped Field (6.3 Name),SIEM Long Name 6.3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE_UPDATE,component_list_nameQ_PROTO_ADOBE_UPDATE,component_list_name,ComponentListName,Component List Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE_UPDATE,component_list_urlQ_PROTO_ADOBE_UPDATE,component_list_url,ComponentListURL,Component List URL,url,<url>,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE_UPDATE,component_list_versionQ_PROTO_ADOBE_UPDATE,component_list_version,ComponentListVersion,Component List Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE_UPDATE,product_nameQ_PROTO_ADOBE_UPDATE,product_name,ProductName,Product Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE_UPDATE,update_managerQ_PROTO_ADOBE_UPDATE,update_manager,UpdateManager,Update Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,channelQ_PROTO_AIM,channel,Channel,Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,client_statusQ_PROTO_AIM,client_status,ClientStatus,Client Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,contact_loginQ_PROTO_AIM,contact_login,ContactLogin,Contact Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,contact_statusQ_PROTO_AIM,contact_status,ContactStatus,Contact Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,external_ip_addressQ_PROTO_AIM,external_ip_address,ExtIPAddr,External IP Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,filenameQ_PROTO_AIM,filename,Filename,Filename,objectname,<objectname>,Object Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,filename_encodingQ_PROTO_AIM,filename_encoding,FilenameEncoding,Filename Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,file_receiverQ_PROTO_AIM,file_receiver,FileReceiver,File Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,file_senderQ_PROTO_AIM,file_sender,FileSender,File Sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,filesizeQ_PROTO_AIM,filesize,FileSize,File Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,icon_buddyQ_PROTO_AIM,icon_buddy,IconBuddy,Icon Buddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,internal_ip_addressQ_PROTO_AIM,internal_ip_address,InternalIPAddr,Internal IP Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,loginQ_PROTO_AIM,login,Login,Login,login,<login>,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,messageQ_PROTO_AIM,message,Msg,Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,receiverQ_PROTO_AIM,receiver,Receiver,Receiver,recipient,<recipient>,Recipient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,senderQ_PROTO_AIM,sender,Sender,Sender,sender,<sender>,Sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,serviceQ_PROTO_AIM,service,Service,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,user_agentQ_PROTO_AIM,user_agent,UserAgent,User Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,user_emailQ_PROTO_AIM,user_email,UserEmail,User Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,versionQ_PROTO_AIM,version,Version,Version,version,<version>,Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,chat_idQ_PROTO_AIM_EXPRESS,chat_id,ChatID,Chat ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,chat_typeQ_PROTO_AIM_EXPRESS,chat_type,ChatType,Chat Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,client_statusQ_PROTO_AIM_EXPRESS,client_status,ClientStatus,Client Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,contact_loginQ_PROTO_AIM_EXPRESS,contact_login,ContactLogin,Contact Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
